Date,Open,High,Low,Close,Volume
2021-04-23,132.1600,135.1200,132.1600,134.3200,78756779
2021-04-26,134.8300,135.0600,133.5600,134.7200,66905069
2021-04-27,135.0100,135.4100,134.1100,134.3900,66015804
2021-04-28,134.3100,135.0200,133.0800,133.5800,107760097
2021-04-29,136.4700,137.0700,132.4500,133.4800,151100953
2021-04-30,131.7800,133.5600,131.0650,131.4600,109839466
2021-05-03,132.0400,134.0700,131.8300,132.5400,75135100
2021-05-04,131.1900,131.4899,126.7000,127.8500,137564718
2021-05-05,129.2000,130.4500,127.9700,128.1000,84000900
2021-05-06,127.8900,129.7500,127.1300,129.7400,78128334
2021-05-07,130.8500,131.2582,129.4750,130.2100,78973273
2021-05-10,129.4100,129.5400,126.8100,126.8500,88071229
2021-05-11,123.5000,126.2700,122.7700,125.9100,126142826
2021-05-12,123.4000,124.6400,122.2500,122.7700,112172282
2021-05-13,124.5800,126.1500,124.2600,124.9700,105861339
2021-05-14,126.2500,127.8900,125.8500,127.4500,81917951
2021-05-17,126.8200,126.9300,125.1700,126.2700,74244624
2021-05-18,126.5600,126.9900,124.7800,124.8500,63342929
2021-05-19,123.1600,124.9150,122.8600,124.6900,92611989
2021-05-20,125.2300,127.7200,125.1000,127.3100,76857123
2021-05-21,127.8200,128.0000,125.2100,125.4300,79295436
2021-05-24,126.0100,127.9400,125.9400,127.1000,63092945
2021-05-25,127.8200,128.3200,126.3200,126.9000,72009482
2021-05-26,126.9550,127.3900,126.4200,126.8500,56575920
2021-05-27,126.4400,127.6400,125.0800,125.2800,94625601
2021-05-28,125.5700,125.8000,124.5500,124.6100,71311109
2021-06-01,125.0800,125.3500,123.9400,124.2800,67637118
2021-06-02,124.2800,125.2400,124.0500,125.0600,59278862
2021-06-03,124.6800,124.8500,123.1300,123.5400,76229170
2021-06-04,124.0700,126.1600,123.8500,125.8900,75169343
2021-06-07,126.1700,126.3200,124.8321,125.9000,71057550
2021-06-08,126.6000,128.4600,126.2101,126.7400,74403774
2021-06-09,127.2100,127.7500,126.5200,127.1300,56877937
2021-06-10,127.0200,128.1900,125.9400,126.1100,71186421
2021-06-11,126.5300,127.4400,126.1000,127.3500,53522373
2021-06-14,127.8200,130.5400,127.0700,130.4800,96906490
2021-06-15,129.9400,130.6000,129.3900,129.6400,62746332
2021-06-16,130.3700,130.8900,128.4610,130.1500,91339351
2021-06-17,129.8000,132.5500,129.6500,131.7900,96721669
2021-06-18,130.7100,131.5100,130.2400,130.4600,108953309
2021-06-21,130.3000,132.4100,129.2100,132.3000,79663316
2021-06-22,132.1300,134.0800,131.6200,133.9800,74783618
2021-06-23,133.7700,134.3200,133.2300,133.7000,60214200
2021-06-24,134.4500,134.6400,132.9300,133.4100,68710998
2021-06-25,133.4600,133.8900,132.8100,133.1100,70783746
2021-06-28,133.4100,135.2450,133.3500,134.7800,62111303
2021-06-29,134.8000,136.4900,134.3500,136.3300,64556081
2021-06-30,136.1700,137.4100,135.8700,136.9600,63261393
2021-07-01,136.6000,137.3300,135.7600,137.2700,52485781
2021-07-02,137.9000,140.0000,137.7450,139.9600,78945572
2021-07-06,140.0700,143.1500,140.0700,142.0200,108181793
2021-07-07,143.5350,144.8900,142.6600,144.5700,104911589
2021-07-08,141.5800,144.0600,140.6650,143.2400,105575458
2021-07-09,142.7500,145.6500,142.6522,145.1100,99890800
2021-07-12,146.2100,146.3200,144.0000,144.5000,76299719
2021-07-13,144.0300,147.4600,143.6300,145.6400,100827099
2021-07-14,148.1000,149.5700,147.6800,149.1500,127050785
2021-07-15,149.2400,150.0000,147.0900,148.4800,106820297
2021-07-16,148.4600,149.7600,145.8800,146.3900,93251426
2021-07-19,143.7500,144.0700,141.6700,142.4500,121434571
2021-07-20,143.4600,147.0997,142.9600,146.1500,96350036
2021-07-21,145.5300,146.1300,144.6300,145.4000,74993460
2021-07-22,145.9350,148.1950,145.8100,146.8000,77338156
2021-07-23,147.5500,148.7177,146.9200,148.5600,71447416
2021-07-26,148.2700,149.8300,147.7000,148.9900,72434089
2021-07-27,149.1200,149.2100,145.5500,146.7700,104818578
2021-07-28,144.8100,146.9600,142.5400,144.9800,118820462
